,full_name,food_name,brand,flavor,serving_size,calories,carbs,fat,protein,sodium,sugar
13,  Low-Moisture Part-Skim Mozzarella_Hyvee_Shredded,  Low-Moisture Part-Skim Mozzarella,Hyvee,Shredded,1/4 cup (28g),93.33333333333333,1.0,5.0,8.0,170.0,0.0
54, 100 Calorie Snack Pack_Pringles_Sour Cream and Onion, 100 Calorie Snack Pack,Pringles,Sour Cream and Onion,1 tub,100.0,11.0,5.0,1.0,110.0,0.0
61, 100% Whey Concentrated and Isolated Whey Protein_Cyrosport_Vanilla, 100% Whey Concentrated and Isolated Whey Protein,Cyrosport,Vanilla,1 scoop,140.0,2.9999999999999996,2.9999999999999996,26.999999999999996,114.99999999999999,2.0
124, All Bran Cereal Bar_Kellogs_Orange Cranberry, All Bran Cereal Bar,Kellogs,Orange Cranberry,1 bar,130.0,22.0,5.0,2.0,105.00000000000001,9.0
159, Apr '13_Atkins _60g Bar, Apr '13,Atkins ,60g Bar,1 bar,215.0,14.0,8.0,21.0,0.0,1.0
165, Asia Specialities_Aldi_Sweet Chilli Sauce, Asia Specialities,Aldi,Sweet Chilli Sauce,45 ml,82.5,16.0,0.0,0.0,351.0,15.0
354, Cheese Crumbled_C_Feta, Cheese Crumbled,C,Feta,0.0625 cup,59.2,0.125,1.75,1.25,87.5,0.0
453, Chosen by You_Asda_Slow Cooked Lamb Shank In Mint Gravy, Chosen by You,Asda,Slow Cooked Lamb Shank In Mint Gravy,1 shank,314.5,9.976190476190476,15.961904761904762,55.866666666666674,558.6666666666667,7.980952380952381
468, Classic Hot Chocolate  (Skim Milk)_Gloria Jeans_Regular, Classic Hot Chocolate  (Skim Milk),Gloria Jeans,Regular,348 ml,171.0,28.999999999999996,0.9999999999999999,10.0,145.0,27.0
489, Coffee_Generic_Instant With Honey, Coffee,Generic,Instant With Honey,1.67 cup,110.0,0.0,0.0,0.0,0.0,0.0
550, Dairy Dream_Aldi_Diet Deli Yogurt Greek Style, Dairy Dream,Aldi,Diet Deli Yogurt Greek Style,47.5 g,41.0,5.0,0.9999999999999999,3.0,37.0,3.9999999999999996
573, Doritos_Frito Lay_Nacho Cheese-Snack Size, Doritos,Frito Lay,Nacho Cheese-Snack Size,1.5 package (oz),175.0,24.0,12.0,3.0,315.0,0.0
653," Flour Tortillas, Burrito Size,Mexamerica_Generic_1 Tortilla"," Flour Tortillas, Burrito Size,Mexamerica",Generic,1 Tortilla,2 tortilla,400.0,70.0,8.0,12.0,1000.0,0.0
707, Full Grilled Chicken Apple Pecan Salad_Wendy's_No Pecans One Dressing, Full Grilled Chicken Apple Pecan Salad,Wendy's,No Pecans One Dressing,1 container,410.0,37.99999999999999,13.999999999999998,35.0,1110.0,27.999999999999996
716, Gelato_Talenti_Old World Eggnog, Gelato,Talenti,Old World Eggnog,1/2 cup,316.6666666666667,28.0,9.0,4.0,50.0,28.0
813, Hk_Princes _Mackerel Fillet In Olive Oil , Hk,Princes ,Mackerel Fillet In Olive Oil ,1 can - drained 90g,271.0,0.0,21.0,20.0,0.0,0.0
